1000 is a False Positive, It has not been inserted
revenues is a True Positive, It had been inserted
importune is a True Positive, It had been inserted
self-example is a True Positive, It had been inserted
143 is a True Positive, It had been inserted
huswife is a True Positive, It had been inserted
dispatch is a True Positive, It had been inserted
prizing is a True Positive, It had been inserted
infant’s is a True Positive, It had been inserted
run’st is a True Positive, It had been inserted
144 is a True Positive, It had been inserted
worser is a True Positive, It had been inserted
tempteth is a True Positive, It had been inserted
purity is a True Positive, It had been inserted
145 is a True Positive, It had been inserted
hate’ is a True Positive, It had been inserted
chiding is a True Positive, It had been inserted
‘not is a True Positive, It had been inserted
you’ is a True Positive, It had been inserted
dearth is a True Positive, It had been inserted
inheritors is a True Positive, It had been inserted
excess is a True Positive, It had been inserted
servant’s is a True Positive, It had been inserted
dross is a True Positive, It had been inserted
nurseth is a True Positive, It had been inserted
sickly is a True Positive, It had been inserted
physician is a True Positive, It had been inserted
prescriptions is a True Positive, It had been inserted
frantic-mad is a True Positive, It had been inserted
unrest is a True Positive, It had been inserted
censures is a True Positive, It had been inserted
falsely is a True Positive, It had been inserted
keep’st is a True Positive, It had been inserted
well-seeing is a True Positive, It had been inserted
149 is a True Positive, It had been inserted
all-tyrant is a True Positive, It had been inserted
hateth is a True Positive, It had been inserted
frown’st is a True Positive, It had been inserted
fawn is a True Positive, It had been inserted
lour’st is a True Positive, It had been inserted
insufficiency is a True Positive, It had been inserted
warrantise is a True Positive, It had been inserted
abhor is a True Positive, It had been inserted
unworthiness is a True Positive, It had been inserted
cheater is a True Positive, It had been inserted
treason is a True Positive, It had been inserted
drudge is a True Positive, It had been inserted
152 is a True Positive, It had been inserted
bed-vow is a True Positive, It had been inserted
oaths’ is a True Positive, It had been inserted
misuse is a True Positive, It had been inserted
enlighten is a True Positive, It had been inserted
blindness is a True Positive, It had been inserted
153 is a True Positive, It had been inserted
dian’s is a True Positive, It had been inserted
love-kindling is a True Positive, It had been inserted
valley-fountain is a True Positive, It had been inserted
seeting is a True Positive, It had been inserted
new-fired is a True Positive, It had been inserted
hied is a True Positive, It had been inserted
distempered is a True Positive, It had been inserted
154 is a True Positive, It had been inserted
love-god is a True Positive, It had been inserted
heart-inflaming is a True Positive, It had been inserted
nymphs is a True Positive, It had been inserted
votary is a True Positive, It had been inserted
legions is a True Positive, It had been inserted
disarmed is a True Positive, It had been inserted
thrall is a True Positive, It had been inserted
heats is a True Positive, It had been inserted
cools is a True Positive, It had been inserted
rossillon is a True Positive, It had been inserted
countess’s is a True Positive, It had been inserted
florence is a True Positive, It had been inserted
florentine is a True Positive, It had been inserted
marseilles is a True Positive, It had been inserted
dramatis is a True Positive, It had been inserted
personæ is a True Positive, It had been inserted
bertram is a True Positive, It had been inserted
lafew is a True Positive, It had been inserted
parolles is a True Positive, It had been inserted
follower is a True Positive, It had been inserted
rynaldo is a True Positive, It had been inserted
countess is a True Positive, It had been inserted
clown is a True Positive, It had been inserted
violenta is a True Positive, It had been inserted
neighbour is a True Positive, It had been inserted
mariana is a True Positive, It had been inserted
tuscany is a True Positive, It had been inserted
